age,income,rent,food,transport,entertainment,shopping,education,misc,financial_literacy_score,saving_habit_score,total_expense,savings
24,41751,13804,7901,2527,6847,3067,4299,4823,3,7,43268,1952
21,53174,15777,6085,4506,1474,6548,7174,1246,8,6,42810,13661
28,71572,12983,4215,684,5218,4714,1736,4119,1,8,33669,40553
25,76416,8990,6985,2396,2422,6353,5677,1791,1,2,34614,42312
22,27041,5983,11019,3795,5687,7784,3761,3061,8,8,41090,-11534
24,38227,5768,4184,2904,3097,608,1534,4161,7,4,22256,19516
27,50201,3504,3275,3039,6329,1245,1033,1158,2,2,19583,30932
20,51069,4450,11708,1232,3151,8655,4879,1864,6,9,35939,18532
24,41370,13236,11504,2121,2299,7360,1792,4561,9,5,42873,593
28,26586,10002,7168,1077,1515,1848,3720,2852,8,3,28182,187
28,65231,11891,5523,2661,6738,7535,6156,867,6,3,41371,24991
25,20322,8019,10707,877,2248,3811,2236,4040,2,9,31938,-7975
22,80294,15898,6783,4348,3817,8286,7599,1071,3,5,47802,35416
21,44299,12472,3019,1808,1184,7853,6287,1274,3,10,33897,13081
25,85793,17264,11487,4692,3650,1237,7905,2150,9,7,48385,42247
25,61501,19691,9598,1341,1956,6032,7592,3980,9,2,50190,13066
20,72134,12719,3049,2671,868,2701,2333,799,5,6,25140,49665
23,24777,2975,4340,655,6922,6867,1740,4121,5,1,27620,-2354
22,26249,12248,9573,4648,4946,1941,327,4036,8,8,37719,-7613
19,36390,15002,11449,2202,5845,1183,694,4483,3,1,40858,-3087
25,35369,16213,4278,3135,6547,2420,7690,4945,9,3,45228,-6739
29,27881,12618,4985,3885,6966,5670,2928,3783,5,6,40835,-11628
23,24587,12620,7705,5321,6716,6249,2483,2168,9,8,43262,-15202
19,89327,5733,3144,1913,5113,6215,5086,4192,10,10,31396,62917
29,22833,10551,9630,544,1844,4484,5610,1857,9,1,34520,-8725
22,62013,4223,2705,5531,4617,3915,330,3443,4,10,24764,39086
18,78620,18868,4424,2186,678,6609,5167,3356,2,4,41288,39067
29,30754,3428,3934,5736,3255,770,774,2395,7,3,20292,13579
27,50282,4080,4484,2669,1632,7332,7093,2319,1,1,29609,20924
23,51737,15776,8996,3741,1979,5755,1280,4733,7,5,42260,13081
29,39124,2695,3745,3225,6186,6902,5206,2665,1,8,30624,9453
26,85102,2201,7764,1923,5848,6974,1055,1136,5,7,26901,62401
18,17196,14049,11161,4514,5533,4494,2365,1703,1,3,43819,-24863
28,76527,17628,4546,5095,3566,3330,3214,4817,8,5,42196,37237
28,26345,10265,7628,573,4528,2067,3025,1893,1,5,29979,-791
27,49077,14460,2777,3518,5126,6910,1115,4755,6,8,38661,13949
29,81400,5477,11525,2060,2911,6518,4284,1727,1,6,34502,48256
29,27055,4202,5114,1391,2420,1359,5197,3104,2,3,22787,4498
20,59484,17542,4936,3632,2972,6647,844,1027,4,7,37600,24826
29,50771,16624,6110,2389,1458,1177,6583,2180,8,1,36521,15770
24,72654,10449,3345,5673,3787,6950,2081,714,3,2,32999,39855
21,61540,13850,4041,1746,1571,1734,7827,2441,8,7,33210,30188
26,44377,8317,4674,4302,1988,5935,117,3628,7,2,28961,18248
20,64573,7350,9504,972,5267,7615,6167,2009,6,2,38884,26571
22,57733,4806,11747,5935,2433,7682,7707,1938,10,10,42248,21393
20,26760,9163,2689,2717,5892,2748,4874,1954,1,7,30037,-2593
24,40762,2185,11726,1200,6227,8014,5874,3702,6,10,38928,5396
22,65986,10070,9056,2579,2516,8815,3035,2475,6,4,38546,29434
26,49332,13545,2119,552,5649,8519,5845,3589,10,9,39818,12875
24,55100,18006,8169,3487,6252,5004,5533,4738,8,7,51189,6354
19,19944,2201,7832,638,5474,7875,7717,1829,6,10,33566,-10208
21,63825,13284,3613,1897,4437,5061,2047,2063,2,10,32402,33612
26,28877,7710,9623,2637,3535,4430,5840,3684,10,6,37459,-3824
29,44990,17698,5033,1327,3761,4276,1237,3175,3,4,36507,9590
19,70283,4102,4936,2583,2699,3384,2176,3387,2,8,23267,49512
27,18258,11102,7659,3476,1899,5599,7800,3947,3,5,41482,-20327
26,46629,3571,11341,1748,2802,4989,211,2286,1,8,26948,22662
27,52579,7125,7067,5149,5353,2597,6596,2148,7,8,36035,21298
22,37958,8697,6802,5335,4782,4173,4256,1617,5,9,35662,5435
19,54465,16034,11901,4864,1378,8835,3180,954,9,9,47146,12333
21,30775,3329,5158,5505,6068,8857,1600,4266,7,7,34783,-950
29,49207,10652,11558,685,5268,3638,5547,3720,1,10,41068,10565
29,37553,5699,6490,3942,5471,5639,3135,4139,1,7,34515,6061
24,68632,8027,2455,5464,4713,8760,5128,577,2,6,35124,36888
29,15055,12667,9643,3693,4194,3001,31,1146,7,9,34375,-16670
25,47873,6823,6620,5428,5677,8716,5941,1602,7,8,40807,10984
20,81205,11347,10867,1912,1370,4428,3196,747,9,1,33867,49437
18,40318,18881,11193,3688,1205,2857,5401,4259,3,8,47484,-3869
21,48734,8959,11087,3416,3189,1076,5949,3792,3,2,37468,12176
19,33522,15616,7099,1515,2759,7800,4716,1650,8,9,41155,-3666
25,26656,8210,2059,5037,5081,2167,3241,2438,6,6,28233,-48
21,30893,14517,8199,4634,4367,1798,7343,913,3,5,41771,-8713
19,31493,14620,8311,4761,2077,7492,901,4190,8,7,42352,-7629
23,18632,5976,7531,2435,5622,6331,4340,1175,3,4,33410,-12961
23,76779,19991,4764,1968,2467,2763,6005,3749,6,9,41707,38079
27,53452,10912,9008,5038,1752,5254,2303,2629,1,10,36896,19408
21,28266,19658,3794,4926,1752,4363,3869,1909,4,8,40271,-10330
23,76607,14059,7686,5588,3549,4905,4839,2209,6,1,42835,36611
19,31940,2690,5487,1858,5580,7900,7318,832,5,1,31665,1990
27,39003,14344,6987,5731,4938,6980,2150,2843,4,3,43973,-2923
29,49815,5437,5421,2269,3628,4027,3032,940,10,8,24754,27863
19,45869,4355,8580,3261,5835,6098,4632,1028,1,8,33789,13284
27,64297,2749,7532,3382,2166,7150,7308,2317,4,2,32604,34256
21,75107,14965,3373,1689,5733,3518,7832,4122,1,1,41232,34401
25,31682,14847,5553,1692,6322,7818,3344,2742,10,4,42318,-8793
24,34622,7758,5672,3316,6374,6415,2667,3045,4,2,35247,-792
29,45408,13637,10144,4121,4889,5059,4122,4748,3,5,46720,1132
26,23837,8074,11274,5356,527,1473,650,4939,7,7,32293,-6275
25,79210,15378,11125,5717,4109,4744,4229,4711,6,10,50013,32257
22,30407,16529,7437,1542,2119,4508,1614,3530,6,10,37279,-3377
19,44309,7274,10163,5743,3406,8726,6436,4497,10,5,46245,1271
22,86918,16007,9446,725,1844,6497,5343,603,3,1,40465,47444
25,33895,8409,10749,2478,4413,8692,7535,2795,6,10,45071,-6565
27,15370,8288,7965,4477,4285,8385,4823,1486,3,5,39709,-23044
26,15486,2885,7915,5636,5168,3015,4810,863,7,6,30292,-12715
29,38762,2864,11734,4331,4268,7247,2153,3231,2,9,35828,6518
29,41613,8917,8115,3144,4329,6713,476,2364,9,1,34058,9567
29,18196,13686,7094,2383,1427,6263,3015,1909,10,3,35777,-15045
26,79839,5054,4382,1040,2278,6900,2935,1672,2,5,24261,55950
18,56916,10977,6098,1145,3603,2440,7844,1726,1,1,33833,24313
26,23572,18199,11199,5585,6366,7510,7369,3945,4,7,60173,-32595
24,43225,10536,11473,5301,6030,8783,3386,3596,8,1,49105,-5025
26,60853,17070,6358,5226,2944,5189,3081,1464,7,10,41332,22744
25,64390,18937,10312,4786,3588,7015,7424,2313,6,10,54375,14028
18,47275,9683,11096,2188,5671,7536,5868,4024,10,3,46066,2986
29,87379,19171,2139,1354,4965,4391,3635,2558,7,1,38213,51625
25,16105,12011,9644,904,663,2646,2774,4511,4,9,33153,-15382
25,74896,17271,3815,3843,5922,4593,6289,1784,8,7,43517,33978
28,58209,10896,7408,2977,4499,4163,7940,2772,4,10,40655,21402
20,57487,16582,6301,1019,3257,5581,3967,3307,10,9,40014,20224
18,33051,9190,9285,3440,4073,8174,3429,907,8,9,38498,-1614
25,81961,11144,11220,1907,850,1461,7029,513,5,9,34124,49656
20,75156,2814,8778,1320,6058,6582,4830,1035,9,10,31417,46732
20,72175,11740,10536,4174,700,4841,7540,4960,7,5,44491,30571
18,21849,4777,4419,5030,3052,4874,4585,753,10,7,27490,-3386
28,33976,6958,5235,4335,4428,4081,7270,3391,10,6,35698,1686
22,71866,5825,4594,4567,1551,5880,4819,2297,6,6,29533,44768
27,62078,19600,3387,3787,4932,2812,4143,4360,2,3,43021,21540
24,46113,16800,2983,2681,786,7158,5920,3683,6,10,40011,8845
27,30401,11999,4122,5214,3178,2992,1208,4796,1,6,33509,-1740
26,27884,14964,7419,3732,5650,2770,2150,604,2,10,37289,-5555
29,52563,8772,4994,924,2295,7201,1247,727,5,6,26160,27451
24,49414,11481,9056,2051,4058,8107,3864,2529,7,5,41146,9558
26,31142,17737,9548,857,6238,8960,7979,952,1,4,52271,-20553
25,86492,19246,8853,3946,5982,7708,3674,3427,2,10,52836,37851
29,50135,12677,4900,2094,606,6684,1400,2205,4,5,30566,20156
19,87232,4355,2775,5628,3053,4577,3030,1710,9,7,25128,66749
18,42862,11157,6981,1510,4013,5794,4206,2454,8,4,36115,8457
24,20190,4395,2735,696,616,932,321,3910,10,9,13605,12176
24,85199,2524,8777,5736,1768,8116,3711,582,9,4,31214,55588
25,19331,2561,9753,1533,6722,1302,4858,1332,4,9,28061,-4268
22,67186,10167,7147,1361,1240,6634,7153,2889,7,10,36591,33162
20,59648,18184,3486,848,522,6966,7875,646,3,9,38527,24206
